y;x
423;2469
414;2446
407;2430
403;2422
394;2424
396;2430
403;2434
405;2436
408;2435
413;2432
414;2429
408;2433
399;2430
390;2429
388;2426
382;2425
376;2420
373;2421
372;2426
375;2423
377;2422
382;2424
384;2424
383;2423
383;2425
390;2427
396;2432
394;2434
395;2435
397;2434
398;2434
397;2432
394;2429
392;2426
393;2427
397;2425
398;2415
400;2397
399;2379
396;2367
396;2358
396;2353
394;2353
383;2359
365;2365
355;2366
348;2365
344;2358
339;2348
335;2341
334;2337
335;2339
336;2341
339;2347
340;2349
340;2348
339;2345
338;2345
338;2345
340;2344
338;2346
335;2348
336;2350
339;2353
342;2356
346;2361
354;2367
363;2374
375;2382
385;2390
388;2396
396;2405
405;2410
411;2412
420;2416
432;2421
441;2428
454;2440
466;2446
475;2448
485;2450
499;2450
511;2446
523;2439
534;2427
542;2414
549;2406
559;2400
571;2392
577;2385
582;2375
584;2358
581;2341
577;2325
573;2309
570;2292
571;2278
577;2264
577;2252
575;2238
572;2227
565;2217
555;2207
545;2198
533;2188
523;2178
516;2171
506;2169
494;2171
490;2173
488;2178
486;2179
479;2180
473;2179
469;2182
463;2186
456;2189
447;2189
437;2188
426;2187
419;2189
410;2194
402;2200
401;2202
401;2203
398;2203
393;2204
389;2203
384;2202
375;2200
366;2200
358;2199
345;2199
334;2198
323;2196
311;2195
299;2197
286;2197
271;2193
262;2188
