y;x
766;593
764;608
762;626
756;644
754;656
749;664
743;675
733;690
723;707
718;718
717;721
713;732
708;747
701;761
696;773
690;785
682;796
676;808
672;822
670;840
664;861
656;882
650;897
645;907
637;919
630;932
628;946
629;955
629;962
629;976
627;994
625;1010
621;1022
615;1032
608;1043
604;1057
604;1072
604;1092
602;1115
600;1133
599;1149
598;1161
595;1170
590;1181
591;1193
596;1210
602;1231
601;1255
604;1274
609;1291
611;1305
606;1316
602;1327
603;1340
606;1356
608;1375
609;1394
607;1412
612;1432
616;1451
612;1464
607;1478
605;1490
607;1506
613;1522
618;1541
617;1562
617;1580
616;1595
615;1612
610;1628
608;1642
613;1656
615;1670
616;1689
616;1710
616;1729
613;1743
610;1757
607;1773
610;1788
614;1802
616;1816
618;1833
620;1853
624;1870
623;1884
620;1899
617;1916
616;1933
620;1946
623;1960
623;1979
625;1998
624;2013
625;2028
622;2044
618;2062
617;2075
617;2087
617;2101
618;2119
617;2137
611;2151
607;2168
602;2186
598;2204
593;2219
592;2234
592;2247
592;2263
587;2276
581;2289
577;2303
572;2320
567;2339
564;2355
559;2369
560;2381
559;2393
558;2406
554;2422
549;2436
547;2452
544;2468
