y;x
762;1546
751;1537
744;1529
734;1522
733;1519
735;1511
735;1494
729;1472
722;1452
718;1445
716;1445
706;1441
696;1432
693;1423
697;1417
700;1414
696;1411
694;1394
694;1373
699;1356
702;1351
701;1351
698;1346
701;1344
697;1336
688;1332
682;1329
680;1326
683;1323
685;1309
687;1292
683;1280
679;1269
674;1260
668;1250
663;1246
655;1241
651;1241
654;1235
667;1219
671;1217
668;1211
670;1201
670;1190
672;1175
670;1171
661;1161
650;1149
645;1140
642;1137
646;1130
649;1120
653;1106
657;1083
662;1066
662;1058
659;1048
652;1032
650;1028
652;1025
652;1018
653;1015
655;1012
657;1012
658;1007
667;993
671;974
671;959
663;953
659;945
660;942
659;937
659;927
657;918
661;915
663;912
657;906
654;894
657;878
662;862
667;850
659;840
650;831
645;816
641;803
643;794
645;782
649;770
656;760
655;747
656;740
649;725
641;715
638;699
635;689
636;689
639;685
639;682
638;676
638;660
639;644
644;628
643;619
637;608
632;600
632;592
641;592
649;594
653;589
647;579
638;573
636;557
641;549
650;541
652;537
646;526
637;514
633;506
629;502
639;493
650;476
653;462
652;445
647;433
645;419
643;419
645;415
641;408
646;408
651;408
654;407
661;394
661;383
668;366
671;355
671;348
674;346
678;349
681;352
679;344
679;335
678;330
680;325
684;320
682;314
697;297
707;291
712;278
716;267
715;257
