y;x
764;2233
754;2236
745;2233
741;2225
741;2217
742;2210
743;2213
740;2219
740;2229
731;2239
716;2239
705;2236
703;2238
704;2244
701;2245
697;2244
694;2238
690;2236
690;2236
693;2235
692;2230
693;2223
693;2219
692;2223
690;2233
687;2239
672;2231
657;2219
645;2213
650;2218
653;2222
653;2224
653;2226
657;2227
653;2227
649;2224
647;2215
646;2213
642;2207
633;2213
623;2229
617;2237
610;2230
594;2201
588;2179
579;2175
578;2179
573;2175
561;2169
550;2168
546;2169
546;2175
542;2179
540;2185
534;2188
524;2193
513;2190
503;2188
490;2179
477;2170
470;2165
470;2169
461;2176
454;2175
449;2174
439;2177
428;2192
426;2196
424;2197
417;2189
409;2178
400;2173
394;2171
391;2175
378;2184
367;2182
354;2178
339;2180
334;2176
336;2172
336;2170
336;2166
331;2147
344;2131
339;2132
337;2137
337;2138
326;2145
321;2145
315;2147
315;2147
311;2145
316;2146
343;2136
386;2120
412;2135
436;2162
420;2184
395;2182
375;2174
366;2166
370;2163
370;2155
369;2149
375;2154
376;2163
372;2171
369;2175
368;2175
368;2174
366;2182
363;2185
355;2190
345;2189
335;2182
329;2177
320;2177
316;2177
309;2169
299;2134
336;2116
358;2119
365;2124
363;2122
355;2122
346;2123
349;2125
346;2129
342;2129
336;2126
328;2121
322;2117
320;2113
319;2110
318;2108
308;2108
296;2110
285;2099
279;2078
282;2061
283;2060
278;2063
277;2067
273;2069
273;2066
277;2064
274;2063
268;2061
267;2059
275;2053
281;2052
282;2052
275;2054
267;2054
265;2035
269;2020
273;2017
272;2017
269;2021
266;2026
266;2025
269;2028
268;2030
264;2026
269;2021
278;2022
285;2020
290;2021
291;2017
288;2012
295;1998
305;1984
311;1983
313;1981
315;1974
316;1969
319;1962
318;1960
316;1956
315;1954
315;1950
312;1944
311;1937
309;1929
306;1925
309;1918
328;1897
341;1895
344;1889
339;1880
335;1879
328;1873
326;1864
350;1833
381;1850
389;1870
392;1885
386;1883
383;1877
382;1875
381;1874
377;1875
377;1877
373;1863
371;1860
368;1853
369;1847
371;1837
369;1828
364;1817
363;1809
361;1807
367;1808
371;1806
371;1806
371;1800
376;1794
374;1783
372;1768
363;1764
355;1763
361;1759
367;1756
369;1747
368;1734
364;1730
368;1727
374;1723
377;1721
379;1718
392;1709
403;1697
409;1683
410;1674
403;1668
397;1664
402;1658
406;1656
406;1649
406;1635
404;1627
408;1628
416;1632
423;1635
425;1632
423;1620
430;1611
436;1597
442;1584
438;1579
438;1570
431;1559
427;1551
431;1542
433;1540
436;1540
447;1527
457;1515
458;1499
462;1487
464;1480
459;1468
460;1455
463;1440
463;1431
466;1429
472;1422
486;1410
493;1399
496;1384
493;1372
490;1365
488;1353
487;1342
484;1341
487;1339
493;1338
496;1336
508;1325
514;1312
513;1297
514;1285
518;1278
519;1274
521;1269
518;1258
517;1246
517;1237
520;1238
530;1225
541;1212
546;1198
551;1186
551;1179
551;1171
549;1160
551;1157
555;1153
558;1148
559;1140
558;1131
570;1114
576;1111
583;1108
581;1098
564;1088
535;1098
524;1126
521;1131
525;1141
534;1139
541;1133
550;1123
553;1112
557;1107
558;1107
561;1108
565;1109
567;1104
566;1102
568;1090
574;1079
576;1079
579;1078
582;1074
581;1065
581;1056
591;1051
605;1049
615;1047
614;1043
611;1033
608;1029
606;1025
614;1023
620;1022
626;1022
631;1019
634;1027
634;1027
642;1024
662;1026
669;1032
666;1032
664;1026
669;1022
679;1021
685;1020
690;1024
691;1029
691;1033
692;1036
703;1036
718;1038
730;1045
738;1049
745;1048
747;1042
748;1037
748;1035
750;1038
750;1041
755;1045
