y;x
257;408
268;406
285;401
297;397
304;395
314;395
325;393
335;390
337;384
339;383
341;391
346;398
358;405
376;413
389;420
393;425
399;431
408;438
417;440
423;442
426;445
430;450
434;455
442;466
451;478
460;483
463;486
464;489
469;493
472;495
474;498
472;501
471;500
471;501
472;500
474;496
474;494
472;496
471;496
471;496
468;495
466;493
463;492
460;492
460;492
458;486
459;481
458;481
457;480
454;481
448;479
446;483
442;481
441;474
441;470
443;470
444;472
446;475
443;482
441;485
440;484
438;480
436;473
436;466
436;461
434;459
430;461
431;459
427;460
419;462
417;470
411;481
404;494
395;504
383;513
372;524
360;533
350;539
339;543
331;550
321;557
309;560
290;559
272;560
258;559
