y;x
764;1511
757;1524
754;1532
750;1546
747;1562
741;1581
735;1599
733;1614
730;1626
725;1640
718;1657
713;1675
712;1691
711;1707
708;1725
703;1742
700;1758
698;1770
696;1784
693;1799
689;1816
689;1830
693;1845
693;1861
690;1879
687;1898
682;1913
677;1927
671;1940
669;1955
672;1971
676;1988
678;2008
682;2026
682;2042
679;2055
676;2068
674;2083
675;2099
678;2115
683;2132
686;2149
686;2166
685;2182
680;2194
673;2208
670;2220
669;2235
672;2250
673;2266
673;2286
671;2303
672;2318
667;2330
661;2342
657;2353
655;2371
658;2386
659;2401
656;2418
654;2433
650;2447
645;2460
640;2473
