y;x
535;265
530;279
524;297
521;316
517;328
510;337
501;346
491;357
485;370
482;382
481;393
476;405
468;423
461;441
457;454
448;462
437;474
427;487
421;500
418;513
414;529
409;547
402;567
401;583
396;594
388;604
378;617
375;629
375;639
374;649
369;663
364;682
361;701
362;716
360;726
355;738
350;753
347;767
350;778
352;791
353;810
354;830
356;850
359;860
358;868
356;880
357;892
364;903
372;917
376;935
378;957
383;977
389;990
388;1000
386;1016
388;1029
394;1044
403;1062
408;1084
408;1104
411;1121
417;1134
418;1142
416;1155
413;1172
418;1185
427;1202
433;1224
435;1246
437;1262
443;1273
445;1283
445;1296
443;1312
446;1329
451;1346
455;1368
459;1387
461;1405
462;1421
458;1436
454;1452
452;1468
456;1484
460;1500
465;1519
468;1541
470;1557
470;1571
466;1584
462;1599
461;1614
467;1629
474;1644
481;1662
485;1682
488;1701
490;1718
488;1735
484;1752
483;1768
487;1782
492;1795
495;1811
495;1830
497;1848
499;1863
499;1877
498;1894
498;1912
501;1927
504;1941
506;1959
509;1978
511;1995
513;2007
510;2023
506;2041
505;2058
506;2073
509;2087
510;2104
513;2125
514;2140
513;2151
512;2164
510;2180
507;2198
507;2214
510;2227
512;2240
516;2257
518;2275
519;2289
516;2303
516;2319
513;2336
510;2352
511;2363
510;2373
512;2384
514;2399
518;2417
520;2433
518;2446
516;2460
514;2476
