y;x
766;2382
766;2381
766;2380
765;2382
764;2386
766;2388
766;2390
765;2392
764;2394
759;2400
753;2404
751;2406
749;2408
747;2409
746;2413
749;2416
749;2413
751;2410
751;2403
747;2404
743;2406
739;2401
735;2396
736;2388
736;2382
737;2379
737;2379
739;2379
739;2376
737;2371
736;2371
735;2374
736;2376
740;2380
742;2385
745;2393
747;2400
749;2403
751;2402
755;2401
754;2404
752;2407
748;2412
745;2421
748;2428
751;2430
755;2431
756;2430
753;2431
752;2432
746;2435
736;2440
728;2441
724;2442
722;2443
718;2446
718;2448
718;2451
710;2453
696;2450
692;2449
694;2451
699;2450
709;2448
722;2450
733;2452
744;2457
753;2461
764;2462
