y;x
274;748
306;763
301;752
297;755
292;763
302;766
305;765
320;769
331;780
333;790
332;797
329;801
332;799
336;802
345;814
351;833
356;853
361;861
371;867
381;869
389;866
392;871
392;882
392;893
391;902
404;912
420;925
427;935
429;940
437;957
438;974
441;993
447;1011
453;1013
455;1021
465;1039
473;1050
478;1058
482;1062
487;1069
488;1080
488;1092
494;1111
502;1115
507;1110
508;1109
508;1110
517;1118
531;1123
546;1129
558;1131
567;1137
574;1142
583;1144
595;1139
599;1139
602;1140
613;1139
628;1139
643;1136
652;1139
656;1145
662;1148
677;1151
686;1153
696;1151
705;1144
721;1144
735;1144
753;1142
762;1140
767;1147
