y;x
257;1149
272;1132
286;1118
293;1109
299;1100
306;1092
312;1085
318;1075
327;1065
337;1048
351;1032
365;1018
373;1007
379;995
384;980
391;967
399;957
408;948
416;932
423;914
429;900
437;888
442;874
448;857
453;839
458;824
462;812
467;799
471;784
477;768
481;751
482;736
480;721
479;706
478;691
480;677
482;664
484;650
487;635
488;620
484;606
483;592
482;576
483;562
480;546
477;533
479;519
481;506
480;494
472;482
463;469
456;450
454;432
447;420
442;412
439;401
436;393
432;380
424;370
413;358
402;341
392;325
384;316
375;310
368;303
365;289
365;279
364;272
359;271
352;270
344;262
