y;x
767;2100
759;2078
753;2069
746;2062
737;2055
733;2047
728;2038
721;2025
716;2010
709;1991
702;1971
698;1955
691;1945
679;1935
669;1925
661;1913
660;1902
655;1892
649;1878
642;1861
634;1844
627;1831
616;1822
604;1812
592;1801
586;1791
580;1784
571;1776
560;1764
547;1748
538;1733
525;1725
510;1715
500;1706
496;1696
490;1690
480;1683
467;1671
454;1654
445;1640
435;1632
422;1624
409;1613
397;1606
388;1600
381;1593
370;1585
357;1575
344;1565
333;1561
319;1554
307;1544
293;1533
281;1528
272;1523
264;1516
