y;x
344;265
340;279
337;292
334;303
330;311
325;323
322;334
319;345
318;357
320;370
320;386
319;403
314;418
308;439
302;459
300;469
295;473
293;475
297;477
298;484
299;494
295;510
290;537
286;558
283;574
287;587
292;595
292;602
293;608
295;619
295;636
294;656
293;676
293;693
296;709
302;723
305;737
308;751
312;767
311;781
309;797
311;809
317;820
327;834
336;854
344;873
353;885
361;896
362;905
362;914
366;922
375;933
387;947
397;966
403;979
412;990
423;1002
432;1010
432;1017
430;1022
434;1027
441;1036
449;1051
459;1070
468;1089
475;1103
481;1112
484;1125
486;1134
491;1144
498;1155
503;1170
505;1187
509;1204
513;1219
514;1234
516;1247
522;1256
527;1267
533;1280
536;1296
542;1317
548;1340
550;1358
551;1372
557;1384
564;1397
570;1411
572;1428
576;1450
580;1477
582;1491
582;1501
586;1517
593;1534
602;1549
607;1562
608;1580
608;1603
609;1627
609;1646
611;1660
615;1678
622;1696
629;1711
631;1726
630;1746
629;1767
630;1783
632;1797
635;1810
639;1829
641;1850
643;1867
647;1881
648;1895
648;1910
651;1925
657;1940
662;1962
668;1987
674;2003
681;2015
684;2028
685;2044
682;2061
681;2077
687;2093
694;2111
700;2132
703;2147
706;2158
707;2170
709;2184
708;2204
709;2221
713;2237
719;2252
725;2268
729;2286
733;2302
732;2315
732;2328
731;2344
733;2358
739;2371
742;2382
748;2396
751;2413
757;2428
761;2439
760;2453
761;2467
