y;x
762;1883
754;1866
747;1849
737;1835
734;1825
732;1813
731;1798
725;1786
715;1773
704;1759
695;1738
687;1720
678;1706
669;1694
669;1684
668;1674
666;1661
658;1648
648;1633
638;1614
631;1592
623;1579
615;1570
609;1558
610;1544
610;1528
607;1512
597;1499
587;1487
578;1473
572;1455
565;1439
558;1428
555;1417
553;1404
552;1388
547;1371
540;1360
537;1347
533;1330
530;1311
524;1298
520;1286
516;1269
513;1252
509;1234
504;1223
498;1213
492;1198
485;1178
479;1161
474;1149
472;1132
473;1113
471;1095
466;1082
460;1069
455;1052
450;1031
445;1014
444;1003
442;989
441;971
440;952
440;936
438;923
435;908
432;889
431;872
432;858
432;843
431;826
430;807
425;792
421;777
419;761
414;744
411;727
411;713
410;698
411;681
412;662
410;646
408;632
404;619
399;602
395;585
390;572
390;559
386;540
387;521
387;505
386;491
381;479
377;463
374;445
370;433
367;423
364;411
361;396
358;378
354;362
348;349
343;335
336;321
329;307
323;293
318;279
314;266
