y;x
268;338
276;345
286;347
297;352
304;357
311;363
320;371
331;380
346;388
361;395
376;407
393;419
408;423
415;425
419;426
425;427
432;429
442;432
454;433
464;437
478;446
494;449
507;448
517;447
525;447
530;448
535;447
541;446
543;448
544;451
547;452
547;454
550;456
551;457
553;454
553;452
555;452
555;452
554;451
554;451
552;449
549;445
541;440
533;438
526;440
516;443
507;449
505;452
506;449
507;448
506;451
509;460
513;474
510;492
507;509
508;515
512;519
514;525
513;535
513;547
508;554
503;562
504;570
508;581
508;595
507;614
508;632
508;646
511;660
514;676
516;690
511;695
506;700
503;710
501;725
497;741
493;753
493;762
493;772
495;786
492;796
488;806
487;814
489;827
490;843
487;864
482;883
482;897
487;912
492;927
497;942
497;952
492;959
490;969
484;981
477;998
472;1015
470;1034
468;1053
467;1070
463;1086
458;1098
453;1110
449;1123
445;1139
442;1158
441;1175
443;1191
450;1204
459;1220
461;1232
453;1242
445;1258
435;1277
423;1297
419;1310
420;1320
419;1335
418;1354
417;1375
416;1392
412;1405
406;1416
400;1432
395;1452
393;1469
395;1487
396;1507
396;1525
397;1541
396;1555
392;1569
387;1585
386;1602
390;1617
394;1634
399;1656
402;1675
405;1690
410;1704
408;1718
408;1734
407;1752
412;1767
419;1783
424;1802
430;1821
434;1838
437;1854
435;1870
433;1888
432;1902
436;1916
440;1933
444;1953
447;1972
454;1988
458;2001
458;2012
457;2027
455;2041
457;2055
463;2070
468;2090
473;2110
478;2124
483;2132
487;2144
490;2161
490;2179
492;2197
497;2211
503;2227
508;2247
513;2265
519;2275
524;2284
528;2297
529;2313
533;2331
539;2348
548;2362
558;2378
566;2395
570;2409
572;2423
573;2438
575;2453
580;2469
