y;x
764;2394
752;2383
736;2370
721;2362
711;2355
696;2341
683;2328
668;2319
654;2308
638;2299
621;2291
606;2277
594;2262
581;2252
563;2245
548;2235
535;2224
525;2211
518;2197
511;2182
502;2168
499;2160
506;2148
511;2134
510;2122
514;2111
518;2097
523;2078
526;2059
528;2048
532;2036
538;2018
541;1997
542;1979
548;1964
555;1945
560;1923
566;1902
569;1886
572;1873
579;1853
585;1832
589;1817
596;1802
608;1787
620;1769
626;1756
636;1744
653;1729
663;1715
671;1699
687;1686
705;1673
725;1661
736;1648
746;1642
767;1634
