y;x
262;2324
271;2334
279;2339
288;2343
291;2342
293;2338
300;2335
310;2336
322;2333
336;2332
339;2336
345;2336
354;2332
361;2323
371;2319
378;2317
386;2315
394;2311
403;2303
406;2297
408;2296
417;2303
430;2314
443;2321
448;2319
450;2311
452;2304
460;2290
471;2279
482;2269
487;2261
489;2252
489;2249
486;2246
492;2245
493;2247
500;2251
515;2256
535;2250
548;2250
551;2248
548;2234
545;2223
547;2205
549;2188
554;2179
555;2179
551;2177
556;2174
566;2164
576;2157
579;2156
581;2139
581;2122
581;2107
581;2100
582;2090
586;2080
580;2075
573;2073
573;2069
577;2063
576;2055
574;2045
569;2036
563;2031
570;2033
575;2021
575;2013
574;2000
570;1983
567;1970
566;1960
562;1944
558;1935
550;1919
539;1905
530;1890
531;1877
531;1872
532;1867
532;1861
532;1855
528;1844
518;1835
513;1824
503;1809
489;1790
485;1782
482;1780
483;1767
480;1756
476;1745
466;1727
456;1712
444;1695
442;1685
440;1675
437;1667
433;1662
426;1654
424;1651
424;1646
422;1640
418;1633
411;1629
403;1622
400;1600
408;1586
407;1577
406;1571
400;1566
396;1559
390;1552
382;1545
380;1542
378;1536
373;1518
370;1508
367;1498
366;1487
364;1476
364;1471
355;1462
345;1449
340;1435
343;1429
343;1415
342;1404
342;1389
346;1376
341;1369
328;1358
317;1349
309;1339
311;1326
316;1319
323;1306
319;1286
310;1269
300;1254
295;1243
289;1237
289;1234
288;1229
281;1220
277;1204
279;1192
278;1176
276;1169
268;1163
262;1153
