y;x
705;265
692;274
685;282
680;294
669;303
657;315
654;328
653;338
651;353
642;373
629;387
623;399
616;413
609;430
606;447
606;459
607;475
607;492
603;510
597;530
590;541
586;553
576;570
574;586
578;600
581;619
579;638
572;656
569;668
568;678
565;691
559;706
564;719
571;732
576;751
577;768
571;789
569;806
570;817
573;829
575;845
583;856
592;867
597;882
599;906
600;926
604;936
613;950
623;967
629;983
639;991
651;998
662;1012
678;1033
691;1056
699;1070
712;1081
725;1096
737;1107
744;1117
751;1125
766;1137
