y;x
513;2472
501;2468
487;2461
477;2446
468;2430
455;2418
444;2408
433;2400
423;2389
410;2379
396;2369
388;2359
384;2346
377;2330
369;2316
364;2306
360;2295
357;2279
351;2265
342;2253
340;2239
340;2223
340;2207
339;2190
338;2178
338;2168
338;2152
336;2136
333;2118
331;2103
333;2090
339;2071
342;2052
343;2035
347;2020
348;1999
346;1980
345;1963
347;1948
355;1931
366;1909
371;1890
375;1873
383;1856
388;1836
393;1815
398;1798
409;1779
420;1758
428;1734
437;1719
445;1701
452;1681
459;1659
468;1642
476;1629
487;1611
499;1591
504;1573
510;1557
512;1539
511;1516
514;1494
517;1477
520;1459
520;1438
519;1415
522;1396
517;1382
514;1365
511;1340
510;1319
509;1304
507;1286
506;1264
508;1241
508;1226
508;1215
509;1198
506;1175
503;1153
502;1139
502;1128
506;1113
506;1095
507;1080
510;1067
513;1049
512;1031
510;1013
509;995
513;980
516;958
522;934
528;914
533;898
538;885
540;869
540;850
546;836
556;827
568;814
583;796
598;781
609;774
621;765
635;758
648;744
662;736
680;732
698;729
715;723
731;715
746;710
761;702
