y;x
764;1966
744;1965
727;1966
718;1968
706;1968
686;1966
668;1964
654;1965
640;1960
626;1962
606;1967
585;1969
578;1972
567;1975
550;1983
532;1992
517;2000
501;2001
485;2006
467;2014
453;2022
444;2030
434;2034
420;2045
405;2057
392;2068
382;2077
380;2087
376;2098
371;2110
372;2120
373;2129
372;2139
374;2149
370;2165
368;2180
369;2194
372;2209
377;2220
382;2229
388;2238
391;2246
396;2253
402;2260
409;2263
416;2266
428;2273
441;2279
450;2282
459;2281
469;2280
484;2280
496;2283
509;2285
527;2286
551;2283
567;2278
583;2280
594;2278
608;2277
622;2276
636;2275
650;2278
665;2282
684;2278
700;2278
718;2284
740;2283
760;2278
