y;x
764;298
751;292
738;286
726;279
715;274
702;268
688;268
678;264
670;263
664;267
655;271
647;272
645;275
643;279
641;281
642;285
640;291
630;301
622;310
612;319
607;327
603;338
599;350
596;356
597;362
601;371
599;381
595;392
591;403
586;416
579;430
573;439
564;442
559;447
561;453
564;460
565;469
564;483
562;500
560;512
561;525
563;538
563;551
561;555
563;556
570;559
580;566
586;576
590;589
595;603
600;613
607;627
613;639
615;644
619;649
628;656
638;665
649;680
660;693
666;701
670;709
675;717
684;725
692;733
701;739
713;748
728;761
741;773
754;782
761;788
767;799
