y;x
763;2237
748;2237
734;2235
724;2238
712;2235
696;2232
676;2225
660;2223
642;2218
626;2211
614;2207
602;2202
589;2201
572;2191
554;2180
543;2171
530;2162
511;2155
494;2150
483;2144
472;2135
458;2125
443;2115
429;2102
423;2090
418;2077
411;2067
410;2060
407;2045
405;2030
397;2016
394;2003
395;1987
397;1968
396;1950
397;1939
401;1923
409;1908
413;1891
418;1877
427;1859
437;1842
444;1825
451;1811
458;1798
472;1785
484;1771
492;1757
503;1742
520;1731
534;1721
546;1709
560;1699
578;1690
595;1678
603;1665
621;1653
642;1642
664;1635
679;1624
696;1620
713;1615
732;1607
745;1594
763;1586
