y;x
299;263
297;273
293;287
289;303
286;313
289;317
290;319
294;330
298;342
300;356
300;366
299;372
301;382
302;396
303;412
308;427
318;439
323;449
330;462
335;473
340;484
345;494
347;501
349;507
349;511
356;516
366;522
377;533
388;545
395;552
402;558
412;566
422;577
425;583
426;587
432;588
440;585
451;587
464;595
478;607
488;613
498;619
510;624
521;630
533;632
545;633
551;636
558;639
570;642
584;645
600;654
616;665
626;674
633;679
644;681
657;686
670;690
682;692
690;694
696;694
705;697
718;704
732;711
746;718
754;717
757;715
764;715
