y;x
419;2436
423;2422
417;2437
406;2436
400;2429
395;2419
397;2412
403;2403
411;2403
421;2405
427;2399
432;2389
432;2375
436;2359
444;2351
451;2349
454;2347
453;2346
452;2345
465;2335
512;2319
541;2327
533;2353
522;2365
521;2368
528;2366
541;2363
550;2359
558;2360
566;2361
572;2360
580;2359
584;2346
589;2340
591;2337
593;2339
598;2341
620;2330
669;2330
701;2351
697;2364
691;2341
675;2319
676;2304
688;2301
701;2307
713;2317
725;2327
725;2330
729;2327
733;2319
741;2314
743;2315
747;2315
746;2307
745;2301
747;2299
753;2301
759;2303
761;2304
764;2295
