y;x
759;1802
750;1794
743;1785
740;1777
738;1769
736;1761
730;1755
721;1745
712;1730
704;1710
696;1697
687;1686
682;1678
682;1669
678;1658
672;1647
663;1635
653;1622
644;1603
634;1584
626;1571
622;1563
620;1552
617;1539
609;1528
599;1517
589;1503
576;1486
563;1472
549;1460
539;1452
536;1442
533;1432
529;1423
524;1420
517;1417
509;1411
504;1398
496;1380
487;1362
482;1349
479;1338
477;1322
476;1304
472;1290
465;1278
458;1267
451;1249
444;1228
437;1214
435;1207
436;1195
435;1180
431;1166
423;1152
415;1137
407;1118
400;1102
394;1090
392;1078
391;1064
390;1047
386;1031
377;1016
372;1004
368;986
362;969
360;955
355;941
353;927
352;910
346;895
340;882
333;870
328;854
322;837
315;821
314;807
312;792
311;776
307;763
298;753
292;741
285;726
276;709
267;695
261;683
257;669
