y;x
767;595
759;607
749;620
739;635
731;651
724;656
719;660
712;664
700;670
685;680
670;687
657;689
651;691
646;693
639;699
627;706
615;710
602;718
585;727
571;735
560;735
552;734
547;734
543;735
540;738
535;736
533;735
530;737
527;737
524;736
521;737
519;737
518;736
517;736
515;737
512;738
509;739
509;739
508;740
508;739
508;738
512;736
515;732
518;729
519;730
515;730
513;730
516;727
524;722
532;718
538;717
539;715
543;713
551;711
559;707
563;705
565;704
565;701
567;698
570;698
569;700
570;702
576;706
581;707
583;705
579;704
568;698
554;693
550;684
554;674
553;664
546;653
537;640
530;626
526;613
524;602
524;593
523;585
522;576
525;562
528;544
528;523
530;502
534;484
536;473
530;464
521;454
513;446
505;433
497;418
491;401
486;381
479;362
475;346
474;333
468;323
460;315
453;306
446;294
440;280
434;265
