y;x
752;2043
740;2036
726;2028
711;2023
693;2018
676;2007
662;1994
644;1990
626;1985
609;1980
590;1975
575;1970
562;1971
548;1972
529;1968
512;1958
494;1955
476;1960
466;1961
453;1960
437;1966
422;1973
407;1980
396;1983
384;1984
371;1988
356;1996
345;2004
339;2010
341;2015
341;2024
337;2037
332;2053
328;2068
328;2084
327;2095
328;2106
330;2123
329;2142
327;2158
330;2175
336;2192
339;2209
339;2229
341;2245
345;2263
352;2278
353;2294
351;2310
357;2326
367;2342
371;2358
372;2377
371;2394
376;2403
386;2411
394;2426
397;2440
402;2450
414;2458
425;2466
433;2475
